性别,投保年龄,保单年度,年龄,年交保费,累计保费,年金,累计红利,现金价值
男,0,1,1,10000,10000,0,11.85,913.9
男,0,2,2,10000,20000,0,59.72,2344.2
男,0,3,3,10000,30000,0,304.02,8987.9
男,0,4,4,10000,40000,0,850.71,22740.8
男,0,5,5,10000,50000,0,1824.48,43683.4
男,0,6,6,10000,60000,0,2680.11,57979
男,0,7,7,0,60000,0,3576.64,58993.4
男,0,8,8,0,60000,0,4515.65,60025.7
男,0,9,9,0,60000,0,5498.65,61076.2
男,0,10,10,0,60000,0,6527.38,62145
男,0,11,11,0,60000,0,7603.46,63232.5
男,0,12,12,0,60000,0,8728.66,64339.1
男,0,13,13,0,60000,0,9904.82,65465
男,0,14,14,0,60000,0,11133.78,66610.7
男,0,15,15,0,60000,0,12417.57,67776.4
男,0,16,16,0,60000,0,13758.07,68962.5
男,0,17,17,0,60000,0,15157.36,70169.3
男,0,18,18,0,60000,0,16617.74,71397.3
男,0,19,19,0,60000,0,18141.23,72638.8
男,0,20,20,0,60000,0,19730.12,73902.1
男,0,21,21,0,60000,0,21386.67,75187.7
男,0,22,22,0,60000,0,23113.37,76496
男,0,23,23,0,60000,0,24912.62,77827.4
男,0,24,24,0,60000,0,26787.41,79182.3
男,0,25,25,0,60000,0,28739.96,80561.3
男,0,26,26,0,60000,0,30773.47,81964.7
男,0,27,27,0,60000,0,32890.47,83393
男,0,28,28,0,60000,0,35094.2,84846.7
男,0,29,29,0,60000,0,37387.55,86326.3
男,0,30,30,0,60000,0,39773.97,87832.3
男,0,31,31,0,60000,0,42256.57,89365.2
男,0,32,32,0,60000,0,44839.04,90925.6
男,0,33,33,0,60000,0,47524.42,92514
男,0,34,34,0,60000,0,50316.64,94131.2
男,0,35,35,0,60000,0,53219.48,95777.7
男,0,36,36,0,60000,0,56236.89,97453.9
男,0,37,37,0,60000,0,59372.58,99159.3
男,0,38,38,0,60000,0,62631.02,100894.6
男,0,39,39,0,60000,0,66016.49,102660.2
男,0,40,40,0,60000,0,69533.43,104456.8
男,0,41,41,0,60000,0,73186.04,106284.8
男,0,42,42,0,60000,0,76979.38,108144.7
男,0,43,43,0,60000,0,80918.3,110037.3
男,0,44,44,0,60000,0,85007.83,111962.9
男,0,45,45,0,60000,0,89253.13,113922.3
男,0,46,46,0,60000,0,93659.52,115915.9
男,0,47,47,0,60000,0,98232.5,117944.4
男,0,48,48,0,60000,0,102978.17,120008.4
男,0,49,49,0,60000,0,107902.4,122108.6
男,0,50,50,0,60000,0,113010.75,124245.4
男,0,51,51,0,60000,0,118309.9,126419.7
男,0,52,52,0,60000,0,123806.77,128632.1
男,0,53,53,0,60000,0,129507.48,130883.1
男,0,54,54,0,60000,0,135419.35,133173.5
男,0,55,55,0,60000,0,141549.42,135504.1
男,0,56,56,0,60000,0,147905.5,137875.4
男,0,57,57,0,60000,0,154494.52,140288.1
男,0,58,58,0,60000,0,161325.31,142743.2
男,0,59,59,0,60000,0,168405.27,145241.1
男,0,60,60,0,60000,0,175743.8,147782.8
男,0,61,61,0,60000,0,183348.75,150369
男,0,62,62,0,60000,0,191228.82,153000.4
男,0,63,63,0,60000,0,199394.95,155677.9
男,0,64,64,0,60000,0,207855.1,158402.2
男,0,65,65,0,60000,0,216620.18,161174.2
男,0,66,66,0,60000,0,225700.04,163994.6
男,0,67,67,0,60000,0,235105.56,166864.5
男,0,68,68,0,60000,0,244847.95,169784.5
男,0,69,69,0,60000,0,254937.27,172755.6
男,0,70,70,0,60000,0,265386.17,175778.7
男,0,71,71,0,60000,0,276206.91,178854.7
男,0,72,72,0,60000,0,287411.33,181984.6
男,0,73,73,0,60000,0,299011.62,185169.1
男,0,74,74,0,60000,0,311022.85,188409.4
男,0,75,75,0,60000,0,323458,191706.3
男,0,76,76,0,60000,0,336330.46,195060.9
男,0,77,77,0,60000,0,349654.86,198474.2
男,0,78,78,0,60000,0,363447.23,201947.2
男,0,79,79,0,60000,0,377722.22,205480.9
男,0,80,80,0,60000,0,392496.81,209076.4
男,0,81,81,0,60000,0,407786.58,212734.7
男,0,82,82,0,60000,0,423609.54,216457
男,0,83,83,0,60000,0,439982.21,220244.4
男,0,84,84,0,60000,0,456923.69,224098
男,0,85,85,0,60000,0,474453.7,228019
男,0,86,86,0,60000,0,492589.24,232008.5
男,0,87,87,0,60000,0,511352.26,236067.7
男,0,88,88,0,60000,0,530761.99,240197.8
男,0,89,89,0,60000,0,550841.7,244400.1
男,0,90,90,0,60000,0,571611.83,248675.8
男,0,91,91,0,60000,0,593095.82,253026.2
男,0,92,92,0,60000,0,615316.59,257452.5
男,0,93,93,0,60000,0,638300.25,261956.1
男,0,94,94,0,60000,0,662068.61,266538.3
男,0,95,95,0,60000,0,686650.58,271200.5
男,0,96,96,0,60000,0,712070.66,275944
男,0,97,97,0,60000,0,738356.78,280770.2
男,0,98,98,0,60000,0,765537.7,285680.6
男,0,99,99,0,60000,0,793643.03,290676.5
男,0,100,100,0,60000,0,822701.83,295759.6
男,0,101,101,0,60000,0,852745.46,300931.2
男,0,102,102,0,60000,0,883807.74,306192.9
男,0,103,103,0,60000,0,915920.42,311546.2
男,0,104,104,0,60000,0,949116.2,316992.7
男,0,105,105,0,60000,0,983433.4,322534.1
男,0,106,106,0,60000,0,0,0
男,1,1,2,10000,10000,0,12.24,932.5
男,1,2,3,10000,20000,0,61.02,2391.6
男,1,3,4,10000,30000,0,306.27,9046.8
男,1,4,5,10000,40000,0,853.14,22790.6
男,1,5,6,10000,50000,0,1825.55,43685.6
男,1,6,7,10000,60000,0,2681.31,57981
男,1,7,8,0,60000,0,3577.96,58995.5
男,1,8,9,0,60000,0,4517.1,60027.8
男,1,9,10,0,60000,0,5500.24,61078.3
男,1,10,11,0,60000,0,6529.11,62147.2
男,1,11,12,0,60000,0,7605.34,63234.7
男,1,12,13,0,60000,0,8730.7,64341.3
男,1,13,14,0,60000,0,9907.02,65467.3
男,1,14,15,0,60000,0,11136.14,66613
男,1,15,16,0,60000,0,12420.11,67778.7
男,1,16,17,0,60000,0,13760.79,68964.8
男,1,17,18,0,60000,0,15160.28,70171.7
男,1,18,19,0,60000,0,16620.86,71391.4
男,1,19,20,0,60000,0,18144.38,72632.4
男,1,20,21,0,60000,0,19733.3,73895.4
男,1,21,22,0,60000,0,21389.88,75180.5
男,1,22,23,0,60000,0,23116.6,76488.4
男,1,23,24,0,60000,0,24915.86,77819.4
男,1,24,25,0,60000,0,26790.65,79173.9
男,1,25,26,0,60000,0,28743.21,80552.5
男,1,26,27,0,60000,0,30776.71,81955.4
男,1,27,28,0,60000,0,32893.7,83383.3
男,1,28,29,0,60000,0,35097.4,84836.5
男,1,29,30,0,60000,0,37390.72,86315.6
男,1,30,31,0,60000,0,39777.1,87821.1
男,1,31,32,0,60000,0,42259.65,89353.5
男,1,32,33,0,60000,0,44842.05,90913.5
男,1,33,34,0,60000,0,47527.36,92501.5
男,1,34,35,0,60000,0,50319.49,94118.4
男,1,35,36,0,60000,0,53222.25,95764.6
男,1,36,37,0,60000,0,56239.56,97440.5
男,1,37,38,0,60000,0,59375.15,99145.7
男,1,38,39,0,60000,0,62633.48,100880.7
男,1,39,40,0,60000,0,66018.83,102646.1
男,1,40,41,0,60000,0,69535.64,104442.4
男,1,41,42,0,60000,0,73188.12,106270.2
男,1,42,43,0,60000,0,76981.32,108129.9
男,1,43,44,0,60000,0,80920.11,110022.2
男,1,44,45,0,60000,0,85009.48,111947.5
男,1,45,46,0,60000,0,89254.61,113906.6
男,1,46,47,0,60000,0,93660.83,115900
男,1,47,48,0,60000,0,98233.63,117928.2
男,1,48,49,0,60000,0,102979.1,119991.9
男,1,49,50,0,60000,0,107903.13,122091.8
男,1,50,51,0,60000,0,113011.26,124228.4
男,1,51,52,0,60000,0,118310.2,126402.4
男,1,52,53,0,60000,0,123806.83,128614.4
男,1,53,54,0,60000,0,129507.29,130865.1
男,1,54,55,0,60000,0,135418.9,133155.2
男,1,55,56,0,60000,0,141548.71,135485.4
男,1,56,57,0,60000,0,147904.5,137856.4
男,1,57,58,0,60000,0,154493.22,140268.9
男,1,58,59,0,60000,0,161323.71,142723.5
男,1,59,60,0,60000,0,168403.34,145221.2
男,1,60,61,0,60000,0,175741.52,147762.5
男,1,61,62,0,60000,0,183345.49,150348.3
男,1,62,63,0,60000,0,191225.84,152979.4
男,1,63,64,0,60000,0,199391.58,155656.4
男,1,64,65,0,60000,0,207851.32,158380.4
男,1,65,66,0,60000,0,216615.97,161152
男,1,66,67,0,60000,0,225695.39,163972
男,1,67,68,0,60000,0,235100.45,166841.5
男,1,68,69,0,60000,0,244841.62,169761.1
男,1,69,70,0,60000,0,254931.19,172731.8
男,1,70,71,0,60000,0,265379.57,175754.5
男,1,71,72,0,60000,0,276198.96,178830
男,1,72,73,0,60000,0,287402.81,181959.4
男,1,73,74,0,60000,0,299003.32,185143.5
男,1,74,75,0,60000,0,311013.92,188383.3
男,1,75,76,0,60000,0,323447.55,191679.7
男,1,76,77,0,60000,0,336319.32,195033.9
男,1,77,78,0,60000,0,349643.01,198446.6
男,1,78,79,0,60000,0,363434.64,201919.1
男,1,79,80,0,60000,0,377709.8,205452.2
男,1,80,81,0,60000,0,392482.62,209047.2
男,1,81,82,0,60000,0,407771.55,212705
男,1,82,83,0,60000,0,423593.64,216426.7
男,1,83,84,0,60000,0,439965.41,220213.5
男,1,84,85,0,60000,0,456905.94,224066.5
男,1,85,86,0,60000,0,474433.88,227986.9
男,1,86,87,0,60000,0,492568.39,231975.7
男,1,87,88,0,60000,0,511330.33,236034.3
男,1,88,89,0,60000,0,530738.94,240163.7
男,1,89,90,0,60000,0,550816.32,244365.3
男,1,90,91,0,60000,0,571585.23,248640.2
男,1,91,92,0,60000,0,593067.95,252989.8
男,1,92,93,0,60000,0,615287.4,257415.4
男,1,93,94,0,60000,0,638268.41,261918.2
男,1,94,95,0,60000,0,662035.33,266499.5
男,1,95,96,0,60000,0,686614.47,271160.8
男,1,96,97,0,60000,0,712031.66,275903.3
男,1,97,98,0,60000,0,738316.15,280728.6
男,1,98,99,0,60000,0,765493.97,285638
男,1,99,100,0,60000,0,793596.1,290632.9
男,1,100,101,0,60000,0,822653.04,295714.9
男,1,101,102,0,60000,0,852694.71,300885.3
男,1,102,103,0,60000,0,883751.95,306145.9
男,1,103,104,0,60000,0,915860.95,311498
男,1,104,105,0,60000,0,949054.45,316943.3
男,1,105,106,0,60000,0,0,0
男,2,1,3,10000,10000,0,12.63,951.2
男,2,2,4,10000,20000,0,62.37,2439.5
男,2,3,5,10000,30000,0,308.56,9106.2
男,2,4,6,10000,40000,0,855.61,22840.5
男,2,5,7,10000,50000,0,1826.63,43686.9
男,2,6,8,10000,60000,0,2682.5,57982.3
男,2,7,9,0,60000,0,3579.27,58996.7
男,2,8,10,0,60000,0,4518.54,60029.1
男,2,9,11,0,60000,0,5501.81,61079.6
男,2,10,12,0,60000,0,6530.82,62148.5
男,2,11,13,0,60000,0,7607.19,63236.1
男,2,12,14,0,60000,0,8732.69,64342.7
男,2,13,15,0,60000,0,9909.17,65468.7
男,2,14,16,0,60000,0,11138.45,66614.4
男,2,15,17,0,60000,0,12422.59,67780.1
男,2,16,18,0,60000,0,13763.45,68966.3
男,2,17,19,0,60000,0,15163.11,70164.5
男,2,18,20,0,60000,0,16623.71,71383.6
男,2,19,21,0,60000,0,18147.24,72624.2
男,2,20,22,0,60000,0,19736.16,73886.7
男,2,21,23,0,60000,0,21392.72,75171.4
男,2,22,24,0,60000,0,23119.43,76478.8
男,2,23,25,0,60000,0,24918.67,77809.3
男,2,24,26,0,60000,0,26793.43,79163.4
男,2,25,27,0,60000,0,28745.93,80541.4
男,2,26,28,0,60000,0,30779.38,81943.8
男,2,27,29,0,60000,0,32896.31,83371.1
男,2,28,30,0,60000,0,35099.93,84823.8
男,2,29,31,0,60000,0,37393.16,86302.4
男,2,30,32,0,60000,0,39779.44,87807.3
男,2,31,33,0,60000,0,42261.87,89339.2
男,2,32,34,0,60000,0,44844.15,90898.6
男,2,33,35,0,60000,0,47529.31,92486.2
男,2,34,36,0,60000,0,50321.3,94102.6
男,2,35,37,0,60000,0,53223.89,95748.4
男,2,36,38,0,60000,0,56241.03,97424
男,2,37,39,0,60000,0,59376.44,99129
男,2,38,40,0,60000,0,62634.57,100863.7
男,2,39,41,0,60000,0,66019.72,102628.8
男,2,40,42,0,60000,0,69536.32,104424.8
男,2,41,43,0,60000,0,73188.57,106252.2
男,2,42,44,0,60000,0,76981.53,108111.7
男,2,43,45,0,60000,0,80920.06,110003.6
男,2,44,46,0,60000,0,85009.17,111928.7
男,2,45,47,0,60000,0,89254.03,113887.4
男,2,46,48,0,60000,0,93659.96,115880.4
男,2,47,49,0,60000,0,98232.46,117908.3
男,2,48,50,0,60000,0,102977.62,119971.7
男,2,49,51,0,60000,0,107901.32,122071.2
男,2,50,52,0,60000,0,113009.11,124207.4
男,2,51,53,0,60000,0,118307.68,126381
男,2,52,54,0,60000,0,123803.93,128592.7
男,2,53,55,0,60000,0,129504,130843
男,2,54,56,0,60000,0,135415.2,133132.8
