性别,投保年龄,保单年度,年龄,年交保费,累计保费,年金,累计红利,现金价值
男,0,1,1,10000,10000,0,0,4149.6
男,0,2,2,10000,20000,0,0,9380.6
男,0,3,3,10000,30000,0,0,20239.3
男,0,4,4,10000,30000,0,0,25590.5
男,0,5,5,10000,30000,608.6,0,30331.2
男,0,6,6,10000,30000,608.6,0,30329.2
男,0,7,7,10000,30000,608.6,0,30327.2
男,0,8,8,10000,30000,608.6,0,30325.1
男,0,9,9,10000,30000,608.6,0,30323
男,0,10,10,10000,30000,608.6,0,30320.9
男,0,11,11,10000,30000,608.6,0,30318.8
男,0,12,12,10000,30000,608.6,0,30316.5
男,0,13,13,10000,30000,608.6,0,30314.3
男,0,14,14,10000,30000,608.6,0,30312
男,0,15,15,10000,30000,608.6,0,30309.6
男,0,16,16,10000,30000,608.6,0,30307.2
男,0,17,17,10000,30000,608.6,0,30304.8
男,0,18,18,10000,30000,608.6,0,30302.3
男,0,19,19,10000,30000,608.6,0,30299.7
男,0,20,20,10000,30000,608.6,0,30297.2
男,0,21,21,10000,30000,608.6,0,30294.5
男,0,22,22,10000,30000,608.6,0,30291.8
男,0,23,23,10000,30000,608.6,0,30289.1
男,0,24,24,10000,30000,608.6,0,30286.2
男,0,25,25,10000,30000,608.6,0,30283.4
男,0,26,26,10000,30000,608.6,0,30280.5
男,0,27,27,10000,30000,608.6,0,30277.5
男,0,28,28,10000,30000,608.6,0,30274.4
男,0,29,29,10000,30000,608.6,0,30271.3
男,0,30,30,10000,30000,608.6,0,30268.2
男,0,31,31,10000,30000,608.6,0,30265
男,0,32,32,10000,30000,608.6,0,30261.7
男,0,33,33,10000,30000,608.6,0,30258.3
男,0,34,34,10000,30000,608.6,0,30254.9
男,0,35,35,10000,30000,608.6,0,30251.4
男,0,36,36,10000,30000,608.6,0,30247.8
男,0,37,37,10000,30000,608.6,0,30244.2
男,0,38,38,10000,30000,608.6,0,30240.5
男,0,39,39,10000,30000,608.6,0,30236.7
男,0,40,40,10000,30000,608.6,0,30232.9
男,0,41,41,10000,30000,608.6,0,30228.9
男,0,42,42,10000,30000,608.6,0,30224.9
男,0,43,43,10000,30000,608.6,0,30220.8
男,0,44,44,10000,30000,608.6,0,30216.6
男,0,45,45,10000,30000,608.6,0,30212.4
男,0,46,46,10000,30000,608.6,0,30208
男,0,47,47,10000,30000,608.6,0,30203.6
男,0,48,48,10000,30000,608.6,0,30199.1
男,0,49,49,10000,30000,608.6,0,30194.5
男,0,50,50,10000,30000,608.6,0,30189.8
男,0,51,51,10000,30000,608.6,0,30185
男,0,52,52,10000,30000,608.6,0,30180.1
男,0,53,53,10000,30000,608.6,0,30175.1
男,0,54,54,10000,30000,608.6,0,30170
男,0,55,55,10000,30000,608.6,0,30164.8
男,0,56,56,10000,30000,608.6,0,30159.5
男,0,57,57,10000,30000,608.6,0,30154.1
男,0,58,58,10000,30000,608.6,0,30148.6
男,0,59,59,10000,30000,608.6,0,30143
男,0,60,60,10000,30000,608.6,0,30137.2
男,0,61,61,10000,30000,608.6,0,30131.4
男,0,62,62,10000,30000,608.6,0,30125.4
男,0,63,63,10000,30000,608.6,0,30119.3
男,0,64,64,10000,30000,608.6,0,30113.1
男,0,65,65,10000,30000,608.6,0,30106.7
男,0,66,66,10000,30000,608.6,0,30100.3
男,0,67,67,10000,30000,608.6,0,30093.7
男,0,68,68,10000,30000,608.6,0,30087
男,0,69,69,10000,30000,608.6,0,30080.1
男,0,70,70,10000,30000,608.6,0,30073.1
男,0,71,71,10000,30000,608.6,0,30065.9
男,0,72,72,10000,30000,608.6,0,30058.6
男,0,73,73,10000,30000,608.6,0,30051.2
男,0,74,74,10000,30000,608.6,0,30043.6
男,0,75,75,10000,30000,608.6,0,30035.8
男,0,76,76,10000,30000,608.6,0,30027.9
男,0,77,77,10000,30000,608.6,0,30019.8
男,0,78,78,10000,30000,608.6,0,30011.6
男,0,79,79,10000,30000,608.6,0,30003.2
男,0,80,80,10000,30000,608.6,0,29994.6
男,0,81,81,10000,30000,608.6,0,29985.8
男,0,82,82,10000,30000,608.6,0,29976.8
男,0,83,83,10000,30000,608.6,0,29967.6
男,0,84,84,10000,30000,608.6,0,29958.2
男,0,85,85,10000,30000,608.6,0,29948.7
男,0,86,86,10000,30000,608.6,0,29938.9
男,0,87,87,10000,30000,608.6,0,29928.9
男,0,88,88,10000,30000,608.6,0,29918.7
男,0,89,89,10000,30000,608.6,0,29908.2
男,0,90,90,10000,30000,608.6,0,29897.6
男,0,91,91,10000,30000,608.6,0,29886.7
男,0,92,92,10000,30000,608.6,0,29875.5
男,0,93,93,10000,30000,608.6,0,29864.1
男,0,94,94,10000,30000,608.6,0,29852.5
男,0,95,95,10000,30000,608.6,0,29840.5
男,0,96,96,10000,30000,608.6,0,29828.3
男,0,97,97,10000,30000,608.6,0,29815.8
男,0,98,98,10000,30000,608.6,0,29803.1
男,0,99,99,10000,30000,608.6,0,29790
男,0,100,100,10000,30000,608.6,0,29776.6
男,0,101,101,10000,30000,608.6,0,29762.8
男,0,102,102,10000,30000,608.6,0,29748.8
男,0,103,103,10000,30000,608.6,0,29734.4
男,0,104,104,10000,30000,608.6,0,29719.6
男,0,105,105,10000,30000,608.6,0,29704.4
男,0,106,106,10000,30000,0,0,0
男,1,1,2,10000,10000,0,0,4158
男,1,2,3,10000,20000,0,0,9399.8
男,1,3,4,10000,30000,0,0,20260.5
男,1,4,5,10000,30000,0,0,25601.9
男,1,5,6,10000,30000,608.6,0,30331.4
男,1,6,7,10000,30000,608.6,0,30329.4
男,1,7,8,10000,30000,608.6,0,30327.3
男,1,8,9,10000,30000,608.6,0,30325.3
男,1,9,10,10000,30000,608.6,0,30323.1
男,1,10,11,10000,30000,608.6,0,30320.9
男,1,11,12,10000,30000,608.6,0,30318.7
男,1,12,13,10000,30000,608.6,0,30316.4
男,1,13,14,10000,30000,608.6,0,30314.1
男,1,14,15,10000,30000,608.6,0,30311.8
男,1,15,16,10000,30000,608.6,0,30309.4
男,1,16,17,10000,30000,608.6,0,30306.9
男,1,17,18,10000,30000,608.6,0,30304.4
男,1,18,19,10000,30000,608.6,0,30301.9
男,1,19,20,10000,30000,608.6,0,30299.3
男,1,20,21,10000,30000,608.6,0,30296.6
男,1,21,22,10000,30000,608.6,0,30293.9
男,1,22,23,10000,30000,608.6,0,30291.1
男,1,23,24,10000,30000,608.6,0,30288.3
男,1,24,25,10000,30000,608.6,0,30285.4
男,1,25,26,10000,30000,608.6,0,30282.5
男,1,26,27,10000,30000,608.6,0,30279.5
男,1,27,28,10000,30000,608.6,0,30276.5
男,1,28,29,10000,30000,608.6,0,30273.4
男,1,29,30,10000,30000,608.6,0,30270.2
男,1,30,31,10000,30000,608.6,0,30266.9
男,1,31,32,10000,30000,608.6,0,30263.6
男,1,32,33,10000,30000,608.6,0,30260.3
男,1,33,34,10000,30000,608.6,0,30256.8
男,1,34,35,10000,30000,608.6,0,30253.3
男,1,35,36,10000,30000,608.6,0,30249.8
男,1,36,37,10000,30000,608.6,0,30246.1
男,1,37,38,10000,30000,608.6,0,30242.4
男,1,38,39,10000,30000,608.6,0,30238.6
男,1,39,40,10000,30000,608.6,0,30234.7
男,1,40,41,10000,30000,608.6,0,30230.8
男,1,41,42,10000,30000,608.6,0,30226.8
男,1,42,43,10000,30000,608.6,0,30222.6
男,1,43,44,10000,30000,608.6,0,30218.5
男,1,44,45,10000,30000,608.6,0,30214.2
男,1,45,46,10000,30000,608.6,0,30209.8
男,1,46,47,10000,30000,608.6,0,30205.4
男,1,47,48,10000,30000,608.6,0,30200.8
男,1,48,49,10000,30000,608.6,0,30196.2
男,1,49,50,10000,30000,608.6,0,30191.5
男,1,50,51,10000,30000,608.6,0,30186.7
男,1,51,52,10000,30000,608.6,0,30181.8
男,1,52,53,10000,30000,608.6,0,30176.8
男,1,53,54,10000,30000,608.6,0,30171.6
男,1,54,55,10000,30000,608.6,0,30166.4
男,1,55,56,10000,30000,608.6,0,30161.1
男,1,56,57,10000,30000,608.6,0,30155.7
男,1,57,58,10000,30000,608.6,0,30150.2
男,1,58,59,10000,30000,608.6,0,30144.5
男,1,59,60,10000,30000,608.6,0,30138.7
男,1,60,61,10000,30000,608.6,0,30132.9
男,1,61,62,10000,30000,608.6,0,30126.9
男,1,62,63,10000,30000,608.6,0,30120.8
男,1,63,64,10000,30000,608.6,0,30114.5
男,1,64,65,10000,30000,608.6,0,30108.2
男,1,65,66,10000,30000,608.6,0,30101.7
男,1,66,67,10000,30000,608.6,0,30095.1
男,1,67,68,10000,30000,608.6,0,30088.3
男,1,68,69,10000,30000,608.6,0,30081.4
男,1,69,70,10000,30000,608.6,0,30074.4
男,1,70,71,10000,30000,608.6,0,30067.2
男,1,71,72,10000,30000,608.6,0,30059.9
男,1,72,73,10000,30000,608.6,0,30052.4
男,1,73,74,10000,30000,608.6,0,30044.8
